"label","id","genus","species","species_reference","lifestyle","habitat_reference","terrane","country","province","locality","site","siteN","type_locality","latitude","longitude","elevation","SIA","BDNF","NXC1","CYTB","ND4","tiplabsite","label_clean","oldgenus","gensp","reference","fontface","outgroup","gcol"
"MB463_Choerophryne_sp_2","MB463","Choerophryne","sp.2","","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634765","MZ635000","MZ635237","MZ635470","MZ647914","MB463-Choerophryne_sp.2-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB463 Choerophryne sp.2","Choerophryne","Choerophryne sp.2",FALSE,"italic",FALSE,"#B1FF00"
"MB466_Choerophryne_sp_1","MB466","Choerophryne","sp.1","","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634766","MZ635001","MZ635238","MZ635471","MZ647915","MB466-Choerophryne_sp.1-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB466 Choerophryne sp.1","Choerophryne","Choerophryne sp.1",FALSE,"italic",FALSE,"#B1FF00"
"MB470_Cophixalus_cheesmanae_complex_sp_2","MB470","Cophixalus","cheesmanae complex sp.2","","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634767","MZ635002","MZ635239","MZ635472","MZ647916","MB470-Cophixalus_cheesmanae_complex_sp.2-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB470 Cophixalus cheesmanae complex sp.2","Cophixalus","Cophixalus cheesmanae complex sp.2",FALSE,"italic",FALSE,"#6FFF00"
"MB472_Choerophryne_sp_4","MB472","Choerophryne","sp.4","","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634768","MZ635003","MZ635240","MZ635473","MZ647917","MB472-Choerophryne_sp.4-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB472 Choerophryne sp.4","Choerophryne","Choerophryne sp.4",FALSE,"italic",FALSE,"#B1FF00"
"MB475_Austrochaperina_C_aff__palmipes_4","MB475","Austrochaperina C","aff. palmipes.4","Zweifel 1953","semi-aquatic","Zweifel 1953","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634769","MZ635004","MZ635241","MZ635474","MZ647918","MB475-Austrochaperina_C_aff._palmipes.4-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB475 Austrochaperina C aff. palmipes.4","Austrochaperina C","Austrochaperina C aff. palmipes.4",FALSE,"italic",FALSE,"#e6194B"
"MB479_Mantophryne_cf__lateralis_5","MB479","Mantophryne","cf. lateralis.5","","terrestrial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634770","MZ635005","MZ635242","MZ635475","MZ647919","MB479-Mantophryne_cf._lateralis.5-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB479 Mantophryne cf. lateralis.5","Mantophryne","Mantophryne cf. lateralis.5",FALSE,"italic",FALSE,"#ffd8b1"
"MB482_Cophixalus_linnaeus","MB482","Cophixalus","linnaeus","Kraus & Allison 2009","scansorial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"type locality",-7.29426,147.09365,515,"MZ634771","MZ635006","MZ635243","MZ635476","MZ647920","MB482-Cophixalus_linnaeus-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB482 Cophixalus linnaeus","Cophixalus","Cophixalus linnaeus",FALSE,"italic",FALSE,"#6FFF00"
"MB483_Hylophorbus_cf__rufescens_5","MB483","Hylophorbus","cf. rufescens.5","","terrestrial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634772","MZ635007","MZ635244","MZ635477","MZ647921","MB483-Hylophorbus_cf._rufescens.5-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB483 Hylophorbus cf. rufescens.5","Hylophorbus","Hylophorbus cf. rufescens.5",FALSE,"italic",FALSE,"#00FF59"
"MB484_Oreophryne_cf__geislerorum_2","MB484","Oreophryne","cf. geislerorum.2","","arboreal","AA field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634773","MZ635008","MZ635245","MZ635478","MZ647922","MB484-Oreophryne_A_cf._geislerorum.2-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB484 Oreophryne cf. geislerorum.2","Oreophryne A","Oreophryne cf. geislerorum.2",FALSE,"italic",FALSE,"#0059FF"
"MB486_Paedophryne_swiftorum_complex_sp_2","MB486","Paedophryne","swiftorum complex sp.2","","terrestrial","Butler field notes","epct","Papua New Guinea","Morobe Province","Bowutu Mts.","Cliffside Camp Kamiali",30,"",-7.29426,147.09365,515,"MZ634774","MZ635009","MZ635246","MZ635479","MZ647923","MB486-Paedophryne_swiftorum_complex_sp.2-Cliffside_Camp_Kamiali-Bowutu_Mts.","MB486 Paedophryne swiftorum complex sp.2","Paedophryne","Paedophryne swiftorum complex sp.2",FALSE,"italic",FALSE,"#dcbeff"
